Horse_ID,Heart_Rate,Respiration_Rate,Temperature,Movement_Activity,Reaction_Score,Therapy_Readiness,Health_Status,Readiness_Score,Alert,Care_Recommendation
TH00733,60,19,37.5,4,1,High,Healthy,0.28,No Alert,No Change
TH00734,50,12,37.4,4,3,High,Healthy,0.83,No Alert,No Change
TH00735,50,19,37.3,8,1,High,Healthy,0.65,No Alert,No Change
TH00736,55,16,37.5,1,2,High,Healthy,0.78,No Alert,No Change
TH00737,41,16,36.9,9,2,Medium,Healthy,0.53,No Alert,No Change
TH00738,36,14,38.0,7,2,High,Critical,0.51,Emergency,Veterinary Checkup
TH00739,34,10,36.6,2,2,Medium,Critical,0.28,Emergency,Veterinary Checkup
TH00740,30,8,37.8,6,1,Medium,Critical,0.62,Emergency,Veterinary Checkup
TH00741,65,22,37.3,8,3,High,Healthy,0.61,No Alert,No Change
TH00742,33,9,36.9,5,4,Medium,Critical,0.57,Emergency,Veterinary Checkup
TH00743,42,14,37.6,6,1,High,Healthy,0.79,No Alert,No Change
TH00744,42,13,36.7,8,4,Medium,Critical,0.87,Emergency,Veterinary Checkup
TH00745,48,12,37.5,6,3,High,Healthy,0.8,No Alert,No Change
TH00746,53,13,36.8,9,1,Medium,Healthy,0.32,No Alert,No Change
TH00747,53,18,37.7,9,4,High,Healthy,0.7,No Alert,No Change
TH00748,39,12,37.0,9,3,High,Critical,0.26,Emergency,Veterinary Checkup
TH00749,43,13,37.3,6,4,High,Healthy,0.76,No Alert,No Change
TH00750,47,17,37.6,9,2,High,Healthy,0.51,No Alert,No Change
TH00751,42,16,37.1,3,2,High,Healthy,0.31,No Alert,No Change
TH00752,61,20,37.5,5,3,High,Healthy,0.89,No Alert,No Change
TH00753,49,16,36.7,2,3,Medium,Critical,0.69,Emergency,Veterinary Checkup
TH00754,52,18,37.8,8,4,High,Healthy,0.48,No Alert,No Change
TH00755,51,14,38.4,4,3,High,Healthy,0.22,No Alert,No Change
TH00756,56,19,38.9,6,2,High,Healthy,0.63,No Alert,No Change
TH00757,46,16,37.5,6,2,High,Healthy,0.94,No Alert,No Change
TH00758,32,12,37.9,5,1,Medium,Critical,0.68,Emergency,Veterinary Checkup
TH00759,48,12,36.6,1,4,Medium,Critical,0.98,Emergency,Veterinary Checkup
TH00760,38,11,38.3,7,3,High,Critical,0.31,Emergency,Veterinary Checkup
TH00761,39,11,37.9,8,3,High,Critical,0.65,Emergency,Veterinary Checkup
TH00762,50,17,37.3,1,3,High,Healthy,0.84,No Alert,No Change
TH00763,57,20,38.1,7,4,High,Healthy,0.62,No Alert,No Change
TH00764,45,18,37.4,4,2,High,Healthy,0.27,No Alert,No Change
TH00765,48,15,37.3,6,3,High,Healthy,0.67,No Alert,No Change
TH00766,62,20,37.7,9,3,High,Healthy,0.69,No Alert,No Change
TH00767,47,18,37.0,5,2,High,Healthy,0.78,No Alert,No Change
TH00768,71,24,38.0,8,3,Low,Critical,0.81,Emergency,Veterinary Checkup
TH00769,50,19,37.0,5,1,High,Healthy,0.82,No Alert,No Change
TH00770,30,11,37.0,2,2,Medium,Critical,0.73,Emergency,Veterinary Checkup
TH00771,52,15,37.0,4,2,High,Healthy,0.37,No Alert,No Change
TH00772,48,13,37.9,2,2,High,Healthy,0.52,No Alert,No Change
TH00773,57,16,37.2,7,1,High,Healthy,0.82,No Alert,No Change
TH00774,51,18,36.8,7,2,Medium,Healthy,0.96,No Alert,No Change
TH00775,43,17,37.2,3,4,High,Healthy,0.26,No Alert,No Change
TH00776,32,14,37.5,7,4,Medium,Critical,0.63,Emergency,Veterinary Checkup
TH00777,42,16,36.9,1,4,Medium,Healthy,0.45,No Alert,No Change
TH00778,36,14,36.9,1,2,Medium,Critical,0.38,Emergency,Veterinary Checkup
TH00779,39,12,38.6,9,2,High,Critical,0.6,Emergency,Veterinary Checkup
TH00780,50,14,37.1,6,2,High,Healthy,0.68,No Alert,No Change
TH00781,61,22,37.3,5,1,High,Healthy,0.21,No Alert,No Change
TH00782,48,17,37.3,6,4,High,Healthy,0.82,No Alert,No Change
TH00783,33,11,37.3,6,3,Medium,Critical,0.86,Emergency,Veterinary Checkup
TH00784,49,17,37.8,1,3,High,Healthy,0.97,No Alert,No Change
TH00785,56,19,38.0,5,2,High,Healthy,0.34,No Alert,No Change
TH00786,38,15,37.3,9,1,High,Critical,0.68,Emergency,Veterinary Checkup
TH00787,43,17,36.9,4,2,Medium,Healthy,0.54,No Alert,No Change
TH00788,45,16,38.1,3,3,High,Healthy,0.47,No Alert,No Change
TH00789,37,14,37.5,1,4,High,Critical,0.65,Emergency,Veterinary Checkup
TH00790,51,18,38.4,2,3,High,Healthy,0.83,No Alert,No Change
TH00791,43,13,36.5,3,4,Medium,Critical,0.22,Emergency,Veterinary Checkup
TH00792,49,18,37.6,4,4,High,Healthy,0.98,No Alert,No Change
TH00793,36,9,38.5,7,1,High,Critical,0.85,Emergency,Veterinary Checkup
TH00794,40,15,37.3,6,3,High,Healthy,0.8,No Alert,No Change
TH00795,52,15,37.4,8,2,High,Healthy,0.81,No Alert,No Change
TH00796,41,14,37.6,9,1,High,Healthy,0.51,No Alert,No Change
TH00797,62,19,37.2,6,4,High,Healthy,0.8,No Alert,No Change
TH00798,41,15,37.3,7,3,High,Healthy,0.51,No Alert,No Change
TH00799,47,16,37.3,4,2,High,Healthy,0.92,No Alert,No Change
TH00800,54,15,37.2,2,1,High,Healthy,0.34,No Alert,No Change
TH00801,30,11,38.1,9,2,Medium,Critical,0.43,Emergency,Veterinary Checkup
TH00802,30,9,37.7,9,3,Medium,Critical,0.64,Emergency,Veterinary Checkup
TH00803,30,12,37.6,4,2,Medium,Critical,0.46,Emergency,Veterinary Checkup
TH00804,57,19,37.9,3,1,High,Healthy,0.54,No Alert,No Change
TH00805,39,14,37.4,6,2,High,Critical,0.59,Emergency,Veterinary Checkup
TH00806,70,21,37.1,3,3,Low,Healthy,0.89,No Alert,No Change
TH00807,39,12,37.2,1,1,High,Critical,0.62,Emergency,Veterinary Checkup
TH00808,46,14,37.5,4,4,High,Healthy,0.49,No Alert,No Change
TH00809,60,22,37.0,1,1,High,Healthy,0.4,No Alert,No Change
TH00810,65,25,37.2,2,3,High,Healthy,0.53,No Alert,No Change
TH00811,65,20,37.2,3,2,High,Healthy,0.61,No Alert,No Change
TH00812,57,21,38.6,8,4,High,Healthy,0.8,No Alert,No Change
TH00813,55,14,36.5,4,4,Medium,Critical,0.3,Emergency,Veterinary Checkup
TH00814,50,14,37.4,4,2,High,Healthy,0.38,No Alert,No Change
TH00815,52,15,38.4,9,3,High,Healthy,0.5,No Alert,No Change
TH00816,39,10,37.6,7,1,High,Critical,0.49,Emergency,Veterinary Checkup
TH00817,36,9,37.9,2,3,High,Critical,0.51,Emergency,Veterinary Checkup
TH00818,44,15,37.5,3,4,High,Healthy,0.83,No Alert,No Change
TH00819,43,14,37.2,4,1,High,Healthy,0.46,No Alert,No Change
TH00820,40,14,36.5,4,1,Medium,Critical,0.6,Emergency,Veterinary Checkup
TH00821,51,18,37.6,8,2,High,Healthy,0.7,No Alert,No Change
TH00822,54,19,37.1,6,3,High,Healthy,0.39,No Alert,No Change
TH00823,45,16,37.1,3,1,High,Healthy,0.77,No Alert,No Change
TH00824,59,20,37.3,9,2,High,Healthy,0.64,No Alert,No Change
TH00825,33,9,38.4,8,3,Medium,Critical,0.56,Emergency,Veterinary Checkup
TH00826,43,16,38.7,9,4,High,Healthy,0.85,No Alert,No Change
TH00827,37,11,37.6,5,4,High,Critical,0.39,Emergency,Veterinary Checkup
TH00828,30,8,37.3,3,3,Medium,Critical,0.91,Emergency,Veterinary Checkup
TH00829,44,14,36.9,4,1,Medium,Healthy,0.65,No Alert,No Change
TH00830,43,13,37.7,5,1,High,Healthy,0.69,No Alert,No Change
TH00831,60,19,38.4,9,4,High,Healthy,0.9,No Alert,No Change
TH00832,51,18,37.4,9,4,High,Healthy,0.85,No Alert,No Change
TH00833,34,12,36.5,3,1,Medium,Critical,0.68,Emergency,Veterinary Checkup
TH00834,63,19,37.8,7,3,High,Healthy,0.8,No Alert,No Change
TH00835,57,18,38.0,6,4,High,Healthy,0.55,No Alert,No Change
TH00836,50,19,36.7,4,1,Medium,Critical,0.64,Emergency,Veterinary Checkup
TH00837,42,15,37.6,5,3,High,Healthy,0.25,No Alert,No Change
TH00838,35,16,37.7,2,2,High,Critical,0.27,Emergency,Veterinary Checkup
TH00839,41,16,37.5,7,3,High,Healthy,0.86,No Alert,No Change
TH00840,55,21,37.1,4,1,High,Healthy,0.25,No Alert,No Change
TH00841,63,18,38.0,2,3,High,Healthy,0.34,No Alert,No Change
TH00842,60,22,37.3,6,1,High,Healthy,0.84,No Alert,No Change
TH00843,40,13,36.8,2,4,Medium,Healthy,0.2,No Alert,No Change
TH00844,33,10,36.5,2,2,Medium,Critical,0.43,Emergency,Veterinary Checkup
TH00845,46,16,38.1,7,4,High,Healthy,0.67,No Alert,No Change
TH00846,30,12,37.8,1,4,Medium,Critical,0.68,Emergency,Veterinary Checkup
TH00847,48,17,37.5,7,1,High,Healthy,0.82,No Alert,No Change
TH00848,43,13,37.3,5,1,High,Healthy,0.6,No Alert,No Change
TH00849,40,15,37.2,1,1,High,Healthy,0.61,No Alert,No Change
TH00850,30,9,37.0,6,1,Medium,Critical,0.78,Emergency,Veterinary Checkup
TH00851,50,17,37.3,7,4,High,Healthy,0.6,No Alert,No Change
TH00852,39,12,36.5,1,1,Medium,Critical,0.69,Emergency,Veterinary Checkup
TH00853,33,11,37.1,9,1,Medium,Critical,0.92,Emergency,Veterinary Checkup
TH00854,30,12,37.3,7,4,Medium,Critical,0.52,Emergency,Veterinary Checkup
TH00855,44,13,37.8,1,2,High,Healthy,0.51,No Alert,No Change
TH00856,62,25,37.5,3,2,High,Healthy,0.2,No Alert,No Change
TH00857,61,17,37.9,5,3,High,Healthy,0.69,No Alert,No Change
TH00858,40,12,38.2,4,4,High,Healthy,0.22,No Alert,No Change
TH00859,38,13,38.0,2,1,High,Critical,0.6,Emergency,Veterinary Checkup
TH00860,49,18,37.7,1,3,High,Healthy,0.84,No Alert,No Change
TH00861,35,11,37.5,4,2,High,Critical,0.64,Emergency,Veterinary Checkup
TH00862,48,16,37.0,7,2,High,Healthy,0.42,No Alert,No Change
TH00863,52,18,37.9,4,4,High,Healthy,0.83,No Alert,No Change
TH00864,57,19,38.3,9,1,High,Healthy,0.42,No Alert,No Change
TH00865,43,17,37.7,8,1,High,Healthy,0.79,No Alert,No Change
TH00866,42,16,38.5,8,3,High,Healthy,0.69,No Alert,No Change
TH00867,36,14,36.7,5,2,Medium,Critical,0.34,Emergency,Veterinary Checkup
TH00868,36,10,36.9,1,3,Medium,Critical,0.92,Emergency,Veterinary Checkup
TH00869,42,14,37.9,9,3,High,Healthy,0.36,No Alert,No Change
TH00870,48,15,37.6,2,3,High,Healthy,0.99,No Alert,No Change
TH00871,54,16,38.2,6,1,High,Healthy,0.21,No Alert,No Change
TH00872,36,13,37.5,5,2,High,Critical,0.41,Emergency,Veterinary Checkup
TH00873,59,19,37.1,8,3,High,Healthy,0.36,No Alert,No Change
TH00874,42,15,37.4,3,2,High,Healthy,0.21,No Alert,No Change
TH00875,44,13,36.7,6,2,Medium,Critical,0.79,Emergency,Veterinary Checkup
TH00876,37,16,36.9,6,3,Medium,Critical,0.75,Emergency,Veterinary Checkup
TH00877,30,8,38.0,3,3,Medium,Critical,0.83,Emergency,Veterinary Checkup
TH00878,53,18,37.9,7,4,High,Healthy,0.41,No Alert,No Change
TH00879,52,19,37.7,4,1,High,Healthy,0.56,No Alert,No Change
TH00880,42,13,36.6,5,2,Medium,Critical,0.73,Emergency,Veterinary Checkup
TH00881,45,17,37.3,9,3,High,Healthy,0.55,No Alert,No Change
TH00882,50,14,36.9,6,3,Medium,Healthy,0.76,No Alert,No Change
TH00883,30,13,38.1,4,2,Medium,Critical,0.71,Emergency,Veterinary Checkup
TH00884,39,13,37.2,8,3,High,Critical,0.29,Emergency,Veterinary Checkup
TH00885,52,16,37.0,9,4,High,Healthy,0.82,No Alert,No Change
TH00886,32,10,37.5,5,2,Medium,Critical,0.78,Emergency,Veterinary Checkup
TH00887,47,17,37.2,2,3,High,Healthy,0.72,No Alert,No Change
TH00888,31,9,38.2,6,2,Medium,Critical,0.32,Emergency,Veterinary Checkup
TH00889,49,15,37.1,8,3,High,Healthy,0.41,No Alert,No Change
TH00890,44,14,36.8,5,3,Medium,Healthy,0.51,No Alert,No Change
TH00891,30,8,36.5,1,1,Medium,Critical,0.42,Emergency,Veterinary Checkup
TH00892,56,22,37.5,8,2,High,Healthy,0.38,No Alert,No Change
TH00893,37,11,37.2,9,1,High,Critical,0.84,Emergency,Veterinary Checkup
TH00894,36,14,36.8,1,3,Medium,Critical,0.71,Emergency,Veterinary Checkup
TH00895,47,16,38.1,8,2,High,Healthy,0.65,No Alert,No Change
TH00896,56,17,37.8,2,2,High,Healthy,0.38,No Alert,No Change
TH00897,34,11,37.5,4,4,Medium,Critical,0.93,Emergency,Veterinary Checkup
TH00898,45,17,38.2,2,4,High,Healthy,0.35,No Alert,No Change
TH00899,49,16,37.8,2,3,High,Healthy,0.84,No Alert,No Change
TH00900,51,19,37.1,3,3,High,Healthy,0.97,No Alert,No Change
TH00901,46,17,37.0,8,3,High,Healthy,0.78,No Alert,No Change
TH00902,41,16,37.9,4,3,High,Healthy,0.99,No Alert,No Change
TH00903,36,11,37.7,7,4,High,Critical,0.72,Emergency,Veterinary Checkup
TH00904,45,13,37.6,3,2,High,Healthy,0.37,No Alert,No Change
TH00905,34,10,37.1,3,1,Medium,Critical,0.36,Emergency,Veterinary Checkup
TH00906,30,10,37.8,2,2,Medium,Critical,0.46,Emergency,Veterinary Checkup
TH00907,49,17,37.1,6,2,High,Healthy,0.21,No Alert,No Change
TH00908,54,14,37.4,6,4,High,Healthy,0.75,No Alert,No Change
TH00909,30,10,38.2,1,2,Medium,Critical,0.41,Emergency,Veterinary Checkup
TH00910,34,12,37.2,7,2,Medium,Critical,0.85,Emergency,Veterinary Checkup
TH00911,51,16,36.7,4,3,Medium,Critical,0.49,Emergency,Veterinary Checkup
TH00912,65,24,37.0,3,1,High,Healthy,0.58,No Alert,No Change
TH00913,45,16,38.0,8,2,High,Healthy,0.97,No Alert,No Change
TH00914,37,15,37.6,2,2,High,Critical,0.39,Emergency,Veterinary Checkup
TH00915,43,14,37.4,9,1,High,Healthy,0.78,No Alert,No Change
TH00916,58,21,37.2,8,3,High,Healthy,0.8,No Alert,No Change
TH00917,38,16,37.7,8,4,High,Critical,0.38,Emergency,Veterinary Checkup
TH00918,37,15,37.1,3,4,High,Critical,0.6,Emergency,Veterinary Checkup
TH00919,40,11,37.7,4,2,High,Healthy,0.48,No Alert,No Change
TH00920,35,11,37.1,2,3,High,Critical,0.82,Emergency,Veterinary Checkup
TH00921,46,15,37.1,2,4,High,Healthy,0.7,No Alert,No Change
TH00922,61,21,37.2,4,4,High,Healthy,0.58,No Alert,No Change
TH00923,48,17,37.3,6,4,High,Healthy,0.82,No Alert,No Change
TH00924,42,12,37.5,5,4,High,Healthy,0.39,No Alert,No Change
TH00925,42,14,37.6,1,4,High,Healthy,0.8,No Alert,No Change
TH00926,30,8,36.5,1,2,Medium,Critical,0.89,Emergency,Veterinary Checkup
TH00927,53,21,37.1,6,4,High,Healthy,0.9,No Alert,No Change
TH00928,44,14,37.3,3,2,High,Healthy,0.83,No Alert,No Change
TH00929,43,14,38.3,3,1,High,Healthy,0.53,No Alert,No Change
TH00930,76,25,37.0,7,1,Low,Critical,0.99,Emergency,Veterinary Checkup
TH00931,47,18,37.6,1,3,High,Healthy,0.5,No Alert,No Change
TH00932,37,8,38.2,1,2,High,Critical,0.71,Emergency,Veterinary Checkup
TH00933,40,13,36.8,3,3,Medium,Healthy,0.33,No Alert,No Change
TH00934,56,18,37.7,8,1,High,Healthy,0.98,No Alert,No Change
TH00935,46,14,37.1,1,1,High,Healthy,0.76,No Alert,No Change
TH00936,30,13,37.2,4,1,Medium,Critical,0.8,Emergency,Veterinary Checkup
TH00937,54,16,37.1,9,1,High,Healthy,0.25,No Alert,No Change
TH00938,38,14,37.1,4,4,High,Critical,0.81,Emergency,Veterinary Checkup
TH00939,63,22,38.9,8,1,High,Healthy,0.82,No Alert,No Change
TH00940,55,21,37.9,7,4,High,Healthy,0.74,No Alert,No Change
TH00941,40,12,38.1,3,4,High,Healthy,0.43,No Alert,No Change
TH00942,57,18,37.7,7,3,High,Healthy,0.59,No Alert,No Change
TH00943,45,17,36.7,7,4,Medium,Critical,0.29,Emergency,Veterinary Checkup
TH00944,53,19,37.7,3,3,High,Healthy,0.58,No Alert,No Change
TH00945,49,13,38.0,2,4,High,Healthy,0.4,No Alert,No Change
TH00946,36,11,37.1,9,4,High,Critical,0.48,Emergency,Veterinary Checkup
TH00947,38,13,38.0,1,1,High,Critical,0.33,Emergency,Veterinary Checkup
TH00948,55,20,37.9,7,2,High,Healthy,0.38,No Alert,No Change
TH00949,41,12,38.4,4,4,High,Healthy,0.26,No Alert,No Change
TH00950,40,8,37.3,2,2,High,Healthy,0.94,No Alert,No Change
TH00951,35,13,37.0,2,2,High,Critical,0.62,Emergency,Veterinary Checkup
TH00952,49,14,37.3,8,2,High,Healthy,0.52,No Alert,No Change
TH00953,65,18,38.2,7,4,High,Healthy,0.63,No Alert,No Change
TH00954,34,8,36.6,7,2,Medium,Critical,0.7,Emergency,Veterinary Checkup
TH00955,45,17,36.5,5,4,Medium,Critical,0.94,Emergency,Veterinary Checkup
TH00956,59,20,37.5,8,1,High,Healthy,0.34,No Alert,No Change
TH00957,44,14,37.3,2,4,High,Healthy,0.44,No Alert,No Change
TH00958,49,19,37.5,2,3,High,Healthy,0.98,No Alert,No Change
TH00959,34,13,38.0,5,1,Medium,Critical,0.5,Emergency,Veterinary Checkup
TH00960,49,20,37.2,1,2,High,Healthy,0.22,No Alert,No Change
TH00961,43,12,36.6,6,2,Medium,Critical,0.32,Emergency,Veterinary Checkup
TH00962,54,18,38.5,4,3,High,Healthy,0.22,No Alert,No Change
TH00963,56,15,37.0,6,1,High,Healthy,0.99,No Alert,No Change
TH00964,70,23,37.0,7,3,Low,Healthy,0.42,No Alert,No Change
TH00965,50,16,38.1,3,2,High,Healthy,0.94,No Alert,No Change
TH00966,48,17,37.3,8,4,High,Healthy,1.0,No Alert,No Change
TH00967,46,15,37.5,7,2,High,Healthy,0.68,No Alert,No Change
TH00968,41,15,37.7,1,3,High,Healthy,0.23,No Alert,No Change
TH00969,48,17,38.0,6,4,High,Healthy,0.27,No Alert,No Change
TH00970,42,18,37.3,7,4,High,Healthy,0.59,No Alert,No Change
TH00971,46,15,38.3,4,2,High,Healthy,0.52,No Alert,No Change
TH00972,58,17,36.5,2,4,Medium,Critical,0.68,Emergency,Veterinary Checkup
TH00973,34,12,37.9,9,1,Medium,Critical,0.55,Emergency,Veterinary Checkup
TH00974,56,17,37.1,7,2,High,Healthy,0.95,No Alert,No Change
TH00975,58,22,38.2,1,2,High,Healthy,0.63,No Alert,No Change
TH00976,43,14,37.6,8,1,High,Healthy,0.75,No Alert,No Change
TH00977,30,9,37.2,3,2,Medium,Critical,0.92,Emergency,Veterinary Checkup
TH00978,38,12,37.8,4,3,High,Critical,0.32,Emergency,Veterinary Checkup
TH00979,57,20,37.9,5,3,High,Healthy,0.38,No Alert,No Change
TH00980,44,14,37.8,1,2,High,Healthy,0.29,No Alert,No Change
TH00981,35,10,37.0,6,1,High,Critical,0.31,Emergency,Veterinary Checkup
TH00982,39,16,37.3,6,4,High,Critical,0.61,Emergency,Veterinary Checkup
TH00983,53,16,37.5,2,1,High,Healthy,0.46,No Alert,No Change
TH00984,50,17,37.5,6,3,High,Healthy,0.54,No Alert,No Change
TH00985,42,15,37.9,8,2,High,Healthy,0.99,No Alert,No Change
TH00986,41,10,36.5,6,1,Medium,Critical,0.33,Emergency,Veterinary Checkup
TH00987,41,15,37.7,4,4,High,Healthy,0.63,No Alert,No Change
TH00988,35,10,37.4,4,4,High,Critical,0.28,Emergency,Veterinary Checkup
TH00989,61,22,37.1,9,4,High,Healthy,0.45,No Alert,No Change
TH00990,41,12,37.1,6,4,High,Healthy,0.62,No Alert,No Change
TH00991,57,20,37.4,8,1,High,Healthy,0.96,No Alert,No Change
TH00992,60,22,36.5,8,4,Medium,Critical,0.51,Emergency,Veterinary Checkup
TH00993,54,20,37.1,7,3,High,Healthy,0.25,No Alert,No Change
TH00994,40,14,37.1,3,4,High,Healthy,0.51,No Alert,No Change
TH00995,49,16,37.8,1,3,High,Healthy,0.32,No Alert,No Change
TH00996,44,14,37.1,5,1,High,Healthy,0.38,No Alert,No Change
TH00997,35,15,37.4,2,3,High,Critical,0.69,Emergency,Veterinary Checkup
TH00998,48,15,38.3,2,1,High,Healthy,0.25,No Alert,No Change
TH00999,33,9,38.0,7,4,Medium,Critical,0.57,Emergency,Veterinary Checkup
TH01000,56,20,38.0,3,2,High,Healthy,0.69,No Alert,No Change
TH01001,40,12,37.3,8,3,High,Healthy,0.54,No Alert,No Change
TH01002,47,14,37.8,9,3,High,Healthy,0.22,No Alert,No Change
TH01003,47,13,37.4,8,2,High,Healthy,0.99,No Alert,No Change
TH01004,42,13,37.4,6,1,High,Healthy,0.49,No Alert,No Change
TH01005,50,17,37.7,5,1,High,Healthy,0.82,No Alert,No Change
TH01006,40,14,37.2,3,4,High,Healthy,0.46,No Alert,No Change
TH01007,53,20,38.2,3,3,High,Healthy,0.58,No Alert,No Change
TH01008,31,11,37.4,7,1,Medium,Critical,0.51,Emergency,Veterinary Checkup
TH01009,46,15,37.8,5,4,High,Healthy,0.47,No Alert,No Change
TH01010,64,21,38.2,6,1,High,Healthy,0.22,No Alert,No Change
TH01011,34,12,38.0,6,2,Medium,Critical,0.49,Emergency,Veterinary Checkup
TH01012,38,15,36.8,9,2,Medium,Critical,0.91,Emergency,Veterinary Checkup
TH01013,50,17,37.7,1,2,High,Healthy,0.75,No Alert,No Change
TH01014,46,14,37.9,8,4,High,Healthy,0.32,No Alert,No Change
TH01015,48,14,37.9,5,3,High,Healthy,0.67,No Alert,No Change
TH01016,49,13,36.9,6,2,Medium,Healthy,0.91,No Alert,No Change
TH01017,51,18,37.2,6,2,High,Healthy,0.76,No Alert,No Change
TH01018,56,20,38.0,1,1,High,Healthy,0.32,No Alert,No Change
TH01019,49,17,37.1,3,2,High,Healthy,0.89,No Alert,No Change
TH01020,42,14,37.4,6,3,High,Healthy,0.44,No Alert,No Change
TH01021,51,20,38.3,9,4,High,Healthy,0.56,No Alert,No Change
TH01022,63,20,37.5,6,2,High,Healthy,0.62,No Alert,No Change
TH01023,43,16,37.1,6,4,High,Healthy,0.88,No Alert,No Change
TH01024,35,12,37.1,1,4,High,Critical,0.95,Emergency,Veterinary Checkup
TH01025,56,17,37.7,9,3,High,Healthy,0.94,No Alert,No Change
TH01026,43,16,36.8,4,1,Medium,Healthy,0.21,No Alert,No Change
TH01027,30,11,37.4,2,1,Medium,Critical,0.94,Emergency,Veterinary Checkup
TH01028,53,18,37.7,1,4,High,Healthy,0.24,No Alert,No Change
TH01029,39,13,38.1,3,2,High,Critical,0.41,Emergency,Veterinary Checkup
TH01030,44,15,37.8,3,4,High,Healthy,0.61,No Alert,No Change
TH01031,48,21,37.1,5,1,High,Healthy,0.58,No Alert,No Change
TH01032,46,18,38.1,1,2,High,Healthy,0.68,No Alert,No Change
TH01033,52,19,37.4,7,1,High,Healthy,0.58,No Alert,No Change
TH01034,40,14,36.9,1,3,Medium,Healthy,0.95,No Alert,No Change
TH01035,50,19,37.4,4,1,High,Healthy,0.39,No Alert,No Change
TH01036,42,15,38.2,6,2,High,Healthy,0.42,No Alert,No Change
TH01037,52,17,37.6,1,2,High,Healthy,0.94,No Alert,No Change
TH01038,51,16,37.5,7,4,High,Healthy,0.26,No Alert,No Change
TH01039,35,12,38.3,7,2,High,Critical,0.69,Emergency,Veterinary Checkup
TH01040,55,12,36.8,3,3,Medium,Healthy,0.75,No Alert,No Change
TH01041,39,13,36.9,4,1,Medium,Critical,0.6,Emergency,Veterinary Checkup
TH01042,53,17,36.7,6,4,Medium,Critical,0.76,Emergency,Veterinary Checkup
TH01043,48,19,37.7,7,4,High,Healthy,0.34,No Alert,No Change
TH01044,63,21,37.6,4,2,High,Healthy,0.88,No Alert,No Change
TH01045,42,12,38.3,9,3,High,Healthy,0.31,No Alert,No Change
TH01046,41,14,37.6,9,4,High,Healthy,0.52,No Alert,No Change
TH01047,44,13,37.3,9,3,High,Healthy,0.26,No Alert,No Change
TH01048,41,15,37.5,6,3,High,Healthy,0.64,No Alert,No Change
TH01049,52,18,37.6,2,1,High,Healthy,0.74,No Alert,No Change
TH01050,30,12,36.7,2,1,Medium,Critical,0.95,Emergency,Veterinary Checkup
TH01051,34,10,38.9,4,1,Medium,Critical,0.79,Emergency,Veterinary Checkup
TH01052,34,11,37.8,9,3,Medium,Critical,0.63,Emergency,Veterinary Checkup
TH01053,54,15,37.6,3,1,High,Healthy,0.95,No Alert,No Change
TH01054,62,22,37.8,6,4,High,Healthy,0.58,No Alert,No Change
TH01055,43,15,37.9,2,4,High,Healthy,0.65,No Alert,No Change
TH01056,43,15,37.4,1,2,High,Healthy,0.68,No Alert,No Change
TH01057,45,15,37.2,5,3,High,Healthy,0.53,No Alert,No Change
TH01058,56,19,37.8,8,1,High,Healthy,0.87,No Alert,No Change
TH01059,35,15,37.7,2,4,High,Critical,0.35,Emergency,Veterinary Checkup
TH01060,47,15,37.1,9,3,High,Healthy,0.64,No Alert,No Change
TH01061,54,18,38.2,8,3,High,Healthy,0.78,No Alert,No Change
TH01062,50,14,37.6,3,1,High,Healthy,0.92,No Alert,No Change
TH01063,46,14,37.9,1,3,High,Healthy,0.91,No Alert,No Change
TH01064,55,19,38.2,4,1,High,Healthy,0.61,No Alert,No Change
TH01065,30,12,37.5,8,1,Medium,Critical,0.71,Emergency,Veterinary Checkup
TH01066,51,16,37.7,3,1,High,Healthy,0.52,No Alert,No Change
TH01067,38,12,37.9,2,3,High,Critical,0.57,Emergency,Veterinary Checkup
TH01068,30,9,37.1,7,3,Medium,Critical,0.93,Emergency,Veterinary Checkup
TH01069,50,16,37.5,4,1,High,Healthy,0.94,No Alert,No Change
TH01070,58,20,37.6,6,3,High,Healthy,0.92,No Alert,No Change
TH01071,43,11,37.0,5,1,High,Healthy,0.31,No Alert,No Change
TH01072,54,21,38.7,2,2,High,Healthy,0.88,No Alert,No Change
TH01073,61,19,36.8,2,3,Medium,Healthy,0.96,No Alert,No Change
TH01074,58,21,36.9,9,3,Medium,Healthy,0.49,No Alert,No Change
TH01075,61,18,38.2,2,2,High,Healthy,0.61,No Alert,No Change
TH01076,52,19,37.9,8,2,High,Healthy,0.82,No Alert,No Change
TH01077,45,16,37.0,8,2,High,Healthy,0.65,No Alert,No Change
TH01078,30,11,37.8,1,1,Medium,Critical,0.99,Emergency,Veterinary Checkup
TH01079,42,12,38.2,1,1,High,Healthy,0.56,No Alert,No Change
TH01080,36,12,37.5,4,4,High,Critical,0.77,Emergency,Veterinary Checkup
TH01081,66,20,38.8,2,2,Low,Healthy,0.83,No Alert,No Change
TH01082,43,14,36.6,1,4,Medium,Critical,0.6,Emergency,Veterinary Checkup
TH01083,46,17,37.8,9,1,High,Healthy,0.89,No Alert,No Change
TH01084,50,18,38.1,3,3,High,Healthy,0.64,No Alert,No Change
TH01085,45,15,37.9,1,2,High,Healthy,0.53,No Alert,No Change
TH01086,61,18,37.4,2,3,High,Healthy,0.29,No Alert,No Change
TH01087,38,14,37.4,8,1,High,Critical,0.51,Emergency,Veterinary Checkup
TH01088,46,15,37.7,5,2,High,Healthy,0.79,No Alert,No Change
